member,下載,type,text,規格書
SER0102,已下載,RPG,通路無銷售資料異常表                        A1491,
SER0103,已下載,RPG,通路無銷售資料異常表                        A1491,
SER0201,已下載,RPG,通路銷售金額表,
SER0202,已下載,RPG,通路銷售金額表,
SER0301,已下載,RPG,銷貨收入分店彙總表,
SER0302,已下載,RPG,銷貨收入分店彙總表,
SER0401,已下載,RPG,產品銷貨收入彙總表,
SER0402,已下載,RPG,產品銷貨收入彙總表,
SER0501,已下載,RPG,通路銷售明細表,
SER0502,已下載,RPG,通路銷售明細表,
SER0503,已下載,RPG,通路銷售明細表（寫工作檔 ),
SER0504,已下載,RPG,通路銷售明細表－分店（寫工作檔 ),
SER0505,已下載,RPG,通路銷售明細表 - 分店,
SWD001,已下載,RPG,代碼規則資料查詢                            A1491,
SWD002,已下載,RPG,供應商基本資料視窗查詢                      A1491,
SWD0021,已下載,RPG,供應商基本資料視窗查詢（訂貨單備註用）      A1492,
SWD003,已下載,RPG,銷售通路分店視窗查詢                        A1491,
SWD004,已下載,RPG,產品貨架視窗查詢                            A1491,
SWD005,已下載,RPG,產品代號查詢                                A1491,
SWD006,已下載,RPG,轉進貨日期 ( 陳列轉進貨主檔 )               A1491,
SWD007,已下載,RPG,報價檔供應商代號                            A1491,
SWD008,已下載,RPG,報價檔產品代號                              A1491,
SWD009,已下載,RPG,陳列品退出日期 ( 陳列品退出主檔 )           A1546,
SWD010,已下載,RPG,貨運站基本資料視窗查詢                      A1491,
SWD011,已下載,RPG,銷售區碼資料視窗查詢                        A1492,
SWD012,已下載,RPG,供應商產品代號查詢                          A1492,
SYS901,已下載,RPG,網頁人員解除鎖定,
TEMP,已下載,RPG,轉檔用,
TEMP1,已下載,RPG,轉檔用,
TEST,已下載,RPG,轉檔用,
TRF001,已下載,RPG,轉檔 INTNPF -> INTAPF + INTBPF,
TRF002,已下載,RPG,轉檔 INTAPF + INTBPF,
TRF007,已下載,RPG,修正陳列單重複，請執行 CLP                  A1491,
TRF100,已下載,RPG,修正供應商代號                              A1491,
UTL001,已下載,RPG,代碼資料維護                                A1491,
UTL004,已下載,RPG,休假檔維護                                  A1491,
UTL005,已下載,RPG,分店排班資料維護,
UTL005N,已下載,RPG,分店排班資料維護,
VOU0011,已下載,RPG,銷售傳票批次 (screen check)                 A1492,
VOU0012,已下載,RPG,銷售傳票批次 (work-file)                    A1492,
VOU0013,已下載,RPG,傳票銷售收入明細表,
VOU0014,已下載,RPG,傳票銷售成本彙總表,
VOU0021,已下載,RPG,採購傳票批次 (screen check)                 A1492,
VOU0022,已下載,RPG,採購傳票批次 (work-file)                    A1492,
VOU0023,已下載,RPG,傳票採購成本表,
VOU0031,已下載,RPG,庫存異動傳票批次 (screen check)             A1492,
VOU0032,已下載,RPG,庫存異動傳票批次 (work-file)                A1492,
VOU0033,已下載,RPG,傳票庫存異動成本表,
VOU0041,已下載,RPG,進貨退出傳票批次 (screen check)             A1492,
VOU0042,已下載,RPG,進貨退出傳票批次 (work-file)                A1492,
VOU0043,已下載,RPG,進貨退出成本表,
VOU0051,已下載,RPG,陳列轉進貨傳票批次 (screen check)           A1492,
VOU0052,已下載,RPG,陳列轉進貨傳票批次 (work-file)              A1492,
VOU0053,已下載,RPG,傳票陳列轉進貨成本表,
VOU0061,已下載,RPG,傳票批次作業 (screen check)                 A1492,
VPA001,已下載,RPG,直客 (VIP) 資料維護,
VPB001,已下載,RPG,直客 (VIP) 明細表上傳,
VPB0011,已下載,RPG,直客 (VIP) 明細表上傳,
VPB002,已下載,RPG,直客 (VIP) 銷售資料上傳,
VPB0021,已下載,RPG,直客 (VIP) 銷售資料上傳,
VPR001,已下載,RPG,直客 (VIP) 明細表下載,
VPR0011,已下載,RPG,直客 (VIP) 明細表下載,
VPR002,已下載,RPG,直客 (VIP) 銷售資料下載 Sceen check,
VPR0021,已下載,RPG,直客 (VIP) 銷售資料下載 ( 寫 WF),
WEB001,已下載,RPG,人員登錄審核                                A1546,
WEB012,已下載,RPG,調撥單調出產品檢核＆單據產生＆更新          A1546,
WEB015,已下載,RPG,調撥單驗收產品檢核及更新                    A1546,
WEB020,已下載,RPG,訂貨單產品檢核及單據產生 / 更新 / 刪除      A1546,
WEB025,已下載,RPG,每月盤點主檔及明細檔產生 / 更新 / 刪除,
WEB026,已下載,RPG,檢核每月盤點單,
WEB027,已下載,RPG,WEB 每月盤點單 for 新增匯出 Excel,
WEB029,已下載,RPG,驗收單驗收產品檢核及更新                    A1546,
WEB041,已下載,SQLRPG,庫存查詢 BY 貨架,
WEB042,已下載,SQLRPG,庫存查詢 BY 產品,
WEB043,已下載,SQLRPG,庫存查詢 BY 分店,
Z003R1,已下載,RPG,計算帳列庫存量,
Z003R2,已下載,RPG,計算帳列庫存量,
