member,download,type,text,規格書
KIS015C1,已下載,CLP,茂世產品匯總表 ( 後台)-下載檔,
KIS016C,已下載,CLP,進貨分析表 ,
KIS016C1,已下載,CLP,進貨分析表  --下載檔,
KIS0170C,已下載,CLP,物流點庫存報表 ,
KIS0171C,已下載,CLP,物流點庫存報表 ,
KIS0172C,已下載,CLP,物流點庫存報表下載檔 ,
KIS0180C,已下載,CLP,物流點庫存報表 ,
KIS0181C,已下載,CLP,物流點庫存報表 - 年終 ,
KIS0182C,已下載,CLP,物流點庫存報表下載檔 ,
KIS0200C,已下載,CLP,產品名稱報表 ,
KIS0201C,已下載,CLP,產品名稱報表 ,
KIS0202C,已下載,CLP,產品名稱報表下載檔 ,
KIS0210C,已下載,CLP,專櫃銷售日報表 ,
KIS0211C,已下載,CLP,專櫃銷售日報表 ,
KIS0212C,已下載,CLP,專櫃銷售日報表下載檔 ,
KIS022C,已下載,CLP,調撥單批次結案 ,
MSOM00C,已下載,CLP,月報表系統主畫面 ,
MSOR041C,已下載,CLP,月通路產品銷售彙總表  ,
MSOR041CQ,已下載,CLP,月通路產品銷售彙總表  for qstrupprogramrun,
MSOR041C1,已下載,CLP,月通路產品銷售彙總表  ,
MSOR042C,已下載,CLP,月業務員銷售報表  ,
MSOR042C1,已下載,CLP,月業務員銷售報表  ,
MSOR043C,已下載,CLP,品牌通路銷售月彙總表  ,
MSOR043C1,已下載,CLP,品牌通路銷售月彙總表  ,
MSOR044C,已下載,CLP,月ＹＴＤ品牌通路銷售月彙總表  ,
MSOR044C1,已下載,CLP,月ＹＴＤ品牌通路銷售月彙總表  ,
MSOR045C,已下載,CLP,月客戶銷售（退）統計表  ,
MSOR045C1,已下載,CLP,月客戶銷售（退）統計表  ,
MSOR046C,已下載,CLP,月產品銷售（退）統計表  ,
MSOR046C1,已下載,CLP,月產品銷售（退）統計表－分通路  ,
MSOR047C,已下載,CLP,月存貨週轉統計年報  ,
MSOR047C1,已下載,CLP,月存貨週轉統計年報  ,
MSOR048C,已下載,CLP,通路產品平均銷售單價表  ,
MSOR048C1,已下載,CLP,通路產品平均銷售單價表 ,
MTA003C,已下載,CLP,客戶基本資料維護 ,
MTA003C1,已下載,CLP,客戶基本資料維護 ,
MTA0042C,已下載,CLP,銷售分析報表主畫面 ,
MTA0043C,已下載,CLP,凍結久未交易之客戶 ,
MTA005C,已下載,CLP,MTA005-company member maintenance ,
MTA010C,已下載,CLP,產品分類最低售價維護 ,
MTB000C,已下載,CLP,客戶主檔整檔批次處理   FOR BATCHPROCESS,
MTB001C,已下載,CLP,客戶主檔整檔批次處理 ,
